"","event_id","name","Mean Bias","MAE","RMS Error","NRMSE","R","r^2"
"1",2022-03-02,"simulated_baseline",2.285,2.285,2.387,0.459,0.955,0.913
"2",2022-03-02,"simulated_updated",-0.109,0.143,0.17,0.033,0.996,0.993
"3",2022-03-09,"simulated_baseline",-2.867,2.988,3.694,1.469,0.806,0.649
"4",2022-03-09,"simulated_updated",-1.827,1.922,2.571,1.023,0.885,0.783
"5",2022-03-20,"simulated_baseline",-0.347,0.347,0.409,0.239,0.994,0.987
"6",2022-03-20,"simulated_updated",-0.291,0.291,0.345,0.202,0.994,0.989
"7",2022-03-24,"simulated_baseline",0.511,0.648,0.789,0.284,0.982,0.964
"8",2022-03-24,"simulated_updated",-0.005,0.54,0.698,0.251,0.987,0.974
"9",2022-03-29,"simulated_baseline",-0.144,0.159,0.181,0.109,0.997,0.994
"10",2022-03-29,"simulated_updated",-0.764,0.764,0.97,0.583,0.91,0.828
"11",2022-04-21,"simulated_baseline",-0.119,0.2,0.253,0.09,0.996,0.991
"12",2022-04-21,"simulated_updated",-0.779,0.792,1.005,0.357,0.959,0.92
"13",2022-04-23,"simulated_baseline",-0.078,0.452,0.583,0.194,0.988,0.975
"14",2022-04-23,"simulated_updated",-1.401,1.401,1.885,0.628,0.927,0.859
"15",2022-06-14,"simulated_baseline",-0.311,1.465,2.172,0.311,0.976,0.952
"16",2022-06-14,"simulated_updated",-0.56,2.505,3.332,0.476,0.973,0.946
"17",2022-06-24,"simulated_baseline",-1.761,1.96,2.266,0.59,0.976,0.954
"18",2022-06-24,"simulated_updated",-0.35,0.531,0.666,0.173,0.987,0.975
"19",2022-12-01,"simulated_baseline",-7.062,7.074,8.463,0.764,0.872,0.76
"20",2022-12-01,"simulated_updated",-0.83,1.696,2.117,0.191,0.977,0.954
"21",2023-01-28,"simulated_baseline",-0.167,0.737,0.831,0.132,0.988,0.976
"22",2023-01-28,"simulated_updated",2.463,2.463,2.802,0.444,0.939,0.881
"23",2023-02-24,"simulated_baseline",-7.147,7.214,10.104,0.845,0.725,0.526
"24",2023-02-24,"simulated_updated",-2.854,4.206,5.814,0.486,0.924,0.855
"25",2023-02-26,"simulated_baseline",-0.077,0.111,0.14,0.024,0.935,0.874
"26",2023-02-26,"simulated_updated",0.182,0.237,0.303,0.052,0.917,0.841
"27",2023-03-14,"simulated_baseline",1.198,1.314,1.603,0.247,0.986,0.972
"28",2023-03-14,"simulated_updated",1.528,1.552,1.827,0.281,0.985,0.97
"29",2023-03-25,"simulated_baseline",0.682,1.153,1.539,0.096,0.985,0.97
"30",2023-03-25,"simulated_updated",-2.173,2.173,2.704,0.169,0.953,0.909
"31",2023-03-26,"simulated_baseline",-0.729,1.7,1.976,0.165,0.897,0.805
"32",2023-03-26,"simulated_updated",-3.795,3.795,4.704,0.393,0.923,0.852
"33",2023-03-28,"simulated_baseline",-0.222,1.014,1.174,0.085,0.977,0.955
"34",2023-03-28,"simulated_updated",-2.525,2.525,3.018,0.219,0.991,0.982
"35",2023-05-08,"simulated_baseline",-1.867,1.94,2.151,0.636,0.956,0.913
"36",2023-05-08,"simulated_updated",-0.918,0.995,1.167,0.345,0.968,0.937
"37",2023-06-15,"simulated_baseline",-1.281,1.847,2.316,0.405,0.968,0.937
"38",2023-06-15,"simulated_updated",-1.392,1.47,1.95,0.341,0.946,0.894
"39",2023-06-21,"simulated_baseline",0.469,1.503,1.678,0.333,0.87,0.757
"40",2023-06-21,"simulated_updated",-1.121,1.132,1.677,0.333,0.952,0.906
