"runtag","MB","MAE","RMSE","NRMSE","R","R2"
"try_wind_unld_fn_w_temp_parameter",-0.87915,1.55975,1.9876,0.3494,0.9552,0.91345
"air_temp_as_canopy_snow_temp",-0.68345,1.4109,1.7926,0.3003,0.9626,0.9276
"psp_temp_as_canopy_snow_temp",-0.87915,1.55975,1.9876,0.3494,0.9552,0.91345
"icebulb_temp_as_canopy_snow_temp",-0.67965,1.4091,1.79015,0.2993,0.96275,0.92775
"obs_irtc_trunk_temp_as_canopy_snow_temp",0.86385,1.85885,2.53675,0.39615,0.8967,0.8456
"u_mid_th_1.0",-0.67965,1.4091,1.79015,0.2993,0.96275,0.92775
"u_mid_th_0.75",-0.59865,1.41405,1.78805,0.2983,0.96275,0.92795
"u_mid_th_0.5",-0.55665,1.3967,1.7687,0.2958,0.96325,0.9287
"u_mid_th_0.25",-0.55665,1.3967,1.7687,0.2958,0.96325,0.9287
"u_mid_th_0.0",-0.5511,1.3943,1.7655,0.29515,0.96325,0.9288
"no_walmsley",-0.5511,1.3943,1.7655,0.29515,0.96325,0.9288
"no_psp",-0.5511,1.3943,1.7655,0.29515,0.96325,0.9288
"Lres_2.0",-0.61185,1.4211,1.7769,0.30085,0.9653,0.9329
"Lres_5.0",-0.8444,1.59015,1.99335,0.36415,0.9643,0.93115
"with_wind_unld_w_temp",-0.5511,1.3943,1.7655,0.29515,0.96325,0.9288
"rm_wind_unld_w_temp",-0.36565,1.3753,1.74105,0.28875,0.9662,0.93435
"updated_q_unld_wind_pars",-0.52905,1.37275,1.73575,0.28775,0.9662,0.93405
"updated_q_unld_wind_pars",-0.52905,1.37275,1.73575,0.28775,0.9662,0.93405
"updated_q_unld_melt_ratio_3.6",-0.593,1.4111,1.78655,0.29935,0.96485,0.9317
"updated_q_unld_melt_ratio_5.22",-0.39685,1.3298,1.6678,0.2729,0.96815,0.93825
"updated_q_unld_melt_load_fn",-0.1674,1.4532,1.8835,0.31035,0.9636,0.92935
"updated_q_unld_melt_load_fn_exp",-0.32065,1.32405,1.66395,0.27255,0.96885,0.93955
"updated_q_unld_melt_load_fn_exp",-0.32065,1.32405,1.66395,0.27255,0.96885,0.93955
"updated_q_unld_melt_load_fn_output.txt",-0.1674,1.4532,1.8835,0.31035,0.9636,0.92935
"updated_q_unld_melt_load_fn_output.txt",-0.1674,1.4532,1.8835,0.31035,0.9636,0.92935
"updated_q_unld_melt_load_fn_sig",-0.58245,1.41245,1.77345,0.3015,0.96515,0.93225
"updated_q_unld_melt_load_fn_linear",-0.39685,1.3298,1.6678,0.2729,0.96815,0.93825
"updated_q_unld_melt_load_new_linear",-0.39685,1.3298,1.6678,0.2729,0.96815,0.93825
"updated_q_unld_melt_load_new_exp",-0.27625,1.3305,1.66215,0.27245,0.96935,0.94045
"updated_q_unld_melt_load_new_linear",-0.39685,1.3298,1.6678,0.2729,0.96815,0.93825
"updated_q_unld_melt_load_lin_6.14",-0.27625,1.3305,1.66215,0.27245,0.96935,0.94045
"updated_q_unld_melt_load_lin_6.14_2",-0.31005,1.32395,1.6591,0.27145,0.96915,0.9399
