"","event_id","runtag","MB","MAE","RMSE","NRMSE","R","R2"
"1",2022-03-02,"try_wind_unld_fn_w_temp_parameter",-0.109,0.143,0.17,0.033,0.996,0.993
"2",2022-03-09,"try_wind_unld_fn_w_temp_parameter",-1.827,1.922,2.571,1.023,0.885,0.783
"3",2022-03-20,"try_wind_unld_fn_w_temp_parameter",-0.291,0.291,0.345,0.202,0.994,0.989
"4",2022-03-24,"try_wind_unld_fn_w_temp_parameter",-0.005,0.54,0.698,0.251,0.987,0.974
"5",2022-03-29,"try_wind_unld_fn_w_temp_parameter",-0.764,0.764,0.97,0.583,0.91,0.828
"6",2022-04-21,"try_wind_unld_fn_w_temp_parameter",-0.779,0.792,1.005,0.357,0.959,0.92
"7",2022-04-23,"try_wind_unld_fn_w_temp_parameter",-1.401,1.401,1.885,0.628,0.927,0.859
"8",2022-06-14,"try_wind_unld_fn_w_temp_parameter",-0.56,2.505,3.332,0.476,0.973,0.946
"9",2022-06-24,"try_wind_unld_fn_w_temp_parameter",-0.35,0.531,0.666,0.173,0.987,0.975
"10",2022-12-01,"try_wind_unld_fn_w_temp_parameter",-0.83,1.696,2.117,0.191,0.977,0.954
"11",2023-01-28,"try_wind_unld_fn_w_temp_parameter",2.463,2.463,2.802,0.444,0.939,0.881
"12",2023-02-24,"try_wind_unld_fn_w_temp_parameter",-2.854,4.206,5.814,0.486,0.924,0.855
"13",2023-02-26,"try_wind_unld_fn_w_temp_parameter",0.182,0.237,0.303,0.052,0.917,0.841
"14",2023-03-14,"try_wind_unld_fn_w_temp_parameter",1.528,1.552,1.827,0.281,0.985,0.97
"15",2023-03-25,"try_wind_unld_fn_w_temp_parameter",-2.173,2.173,2.704,0.169,0.953,0.909
"16",2023-03-26,"try_wind_unld_fn_w_temp_parameter",-3.795,3.795,4.704,0.393,0.923,0.852
"17",2023-03-28,"try_wind_unld_fn_w_temp_parameter",-2.525,2.525,3.018,0.219,0.991,0.982
"18",2023-05-08,"try_wind_unld_fn_w_temp_parameter",-0.918,0.995,1.167,0.345,0.968,0.937
"19",2023-06-15,"try_wind_unld_fn_w_temp_parameter",-1.454,1.532,1.977,0.349,0.957,0.915
"20",2023-06-21,"try_wind_unld_fn_w_temp_parameter",-1.121,1.132,1.677,0.333,0.952,0.906
